"Periodo","Tienda","Turno","Efectivo","Tarjeta","Total"
"2025-03-30","Salto del Agua","Ambos","1841.5","0","1841.5"
"2025-03-31","Salto del Agua","Ambos","2087","0","2087"
"2025-04-01","Salto del Agua","Ambos","4854","4.8","4858.8"
"2025-04-02","Salto del Agua","Ambos","5236","656.23","5892.23"
"2025-04-03","Salto del Agua","Ambos","5255","505.6","5760.6"
"2025-04-04","Salto del Agua","Ambos","4858","669.66","5527.66"
"2025-04-05","Salto del Agua","Ambos","4611","671.58","5282.58"
"2025-04-06","Salto del Agua","Ambos","2290","212.99","2502.99"
"2025-04-07","Salto del Agua","Ambos","3913","674.46","4587.46"
"2025-04-08","Salto del Agua","Ambos","3569","124.72","3693.72"
"2025-04-09","Salto del Agua","Ambos","3910","574.68","4484.68"
"2025-04-10","Salto del Agua","Ambos","1934","1034.23","2968.23"
"2025-04-11","Salto del Agua","Ambos","4475","271.51","4746.51"
"2025-04-12","Salto del Agua","Ambos","3616","267.67","3883.67"
"2025-04-13","Salto del Agua","Ambos","2662","1023.68","3685.68"
"2025-04-14","Salto del Agua","Ambos","2612","235.05","2847.05"
"2025-04-15","Salto del Agua","Ambos","2611","784.79","3395.79"
"2025-04-16","Salto del Agua","Ambos","2889","959.4","3848.4"
"2025-04-17","Salto del Agua","Ambos","3277","315.64","3592.64"
"2025-04-18","Salto del Agua","Ambos","1527","62.36","1589.36"
"2025-04-19","Salto del Agua","Ambos","2332","0","2332"
"2025-04-20","Salto del Agua","Ambos","0","0","0"
"2025-04-21","Salto del Agua","Ambos","3187","62.36","3249.36"
"2025-04-22","Salto del Agua","Ambos","2541","287.82","2828.82"
"2025-04-23","Salto del Agua","Ambos","5800","675.42","6475.42"
"2025-04-24","Salto del Agua","Ambos","3872","194.76","4066.76"
"2025-04-25","Salto del Agua","Ambos","5184","1169.51","6353.51"
"2025-04-26","Salto del Agua","Ambos","3439","211.07","3650.07"
"2025-04-27","Salto del Agua","Ambos","3100","74.83","3174.83"
"2025-04-28","Salto del Agua","Ambos","3427","594.83","4021.83"
"2025-04-29","Salto del Agua","Ambos","5518","1137.85","6655.85"
"2025-04-30","Salto del Agua","Ambos","5076","1044.79","6120.79"
"2025-05-01","Salto del Agua","Ambos","2299","211.07","2510.07"
"2025-05-02","Salto del Agua","Ambos","4749","593.87","5342.87"
"2025-05-03","Salto del Agua","Ambos","4055","524.79","4579.79"
"2025-05-04","Salto del Agua","Ambos","1877","501.77","2378.77"
"2025-05-05","Salto del Agua","Ambos","5545.5","825.08","6370.58"
"2025-05-06","Salto del Agua","Ambos","5210","250.4","5460.4"
"2025-05-07","Salto del Agua","Ambos","5491","1264.49","6755.49"
"2025-05-08","Salto del Agua","Ambos","5014","1387.29","6401.29"
"2025-05-09","Salto del Agua","Ambos","4478","821.25","5299.25"
"2025-05-10","Salto del Agua","Ambos","4412","530.55","4942.55"
"2025-05-11","Salto del Agua","Ambos","2377.5","295.5","2673"
"2025-05-12","Salto del Agua","Ambos","3843","255.2","4098.2"
"2025-05-13","Salto del Agua","Ambos","3965","1105.23","5070.23"
"2025-05-14","Salto del Agua","Ambos","5860","569.88","6429.88"
"2025-05-15","Salto del Agua","Ambos","4525","1158","5683"
"2025-05-16","Salto del Agua","Ambos","5850","1223.24","7073.23"
"2025-05-17","Salto del Agua","Ambos","3620","105.53","3725.53"
"2025-05-18","Salto del Agua","Ambos","2971","328.11","3299.11"
"2025-05-19","Salto del Agua","Ambos","4756","214.91","4970.91"
"2025-05-20","Salto del Agua","Ambos","5450","1021.76","6471.76"
"2025-05-21","Salto del Agua","Ambos","4548","857.7","5405.7"
"2025-05-22","Salto del Agua","Ambos","3620","189","3809"
"2025-05-23","Salto del Agua","Ambos","4956","981.47","5937.47"
"2025-05-24","Salto del Agua","Ambos","4611","908.55","5519.55"
"2025-05-25","Salto del Agua","Ambos","1694","110.33","1804.33"
"2025-05-26","Salto del Agua","Ambos","5132","683.09","5815.09"
"2025-05-27","Salto del Agua","Ambos","4650","328.11","4978.11"
"2025-05-28","Salto del Agua","Ambos","6526","858.66","7384.66"
"2025-05-29","Salto del Agua","Ambos","3816","1121.54","4937.54"
"2025-05-30","Salto del Agua","Ambos","5175","398.15","5573.15"
"2025-05-31","Salto del Agua","Ambos","3426","433.65","3859.65"
"2025-06-01","Salto del Agua","Ambos","0","0","0"
"2025-06-02","Salto del Agua","Ambos","5771","239.85","6010.85"
"2025-06-03","Salto del Agua","Ambos","6574","761.76","7335.76"
"2025-06-04","Salto del Agua","Ambos","4070","874.01","4944.01"
"2025-06-05","Salto del Agua","Ambos","5161","263.84","5424.84"
"2025-06-06","Salto del Agua","Ambos","3936","1457.33","5393.33"
"2025-06-07","Salto del Agua","Ambos","4868","912.39","5780.39"
"2025-06-08","Salto del Agua","Ambos","2996","422.14","3418.14"
"2025-06-09","Salto del Agua","Ambos","3993","413.5","4406.5"
"2025-06-10","Salto del Agua","Ambos","0","0","0"
"2025-06-11","Salto del Agua","Ambos","5529","710.92","6239.92"
"2025-06-12","Salto del Agua","Ambos","6612","910.47","7522.47"
"2025-06-13","Salto del Agua","Ambos","6257","799.18","7056.18"
"2025-06-14","Salto del Agua","Ambos","4851","925.82","5776.82"
"2025-06-15","Salto del Agua","Ambos","4042","827.96","4869.96"
"2025-06-16","Salto del Agua","Ambos","3598","1938.95","5536.95"
"2025-06-17","Salto del Agua","Ambos","5444","942.13","6386.13"
"2025-06-18","Salto del Agua","Ambos","4597","994.9","5591.9"
"2025-06-19","Salto del Agua","Ambos","5102","330.03","5432.03"
"2025-06-20","Salto del Agua","Ambos","4508","624.57","5132.57"
"2025-06-21","Salto del Agua","Ambos","4298","124.72","4422.72"
